MES,ACCIDENTES DE TRANSITO CD MEXICO
2010-01,64
2010-02,39
2010-03,29
2010-04,60
2010-05,61
2010-06,39
2010-07,47
2010-08,52
2010-09,29
2010-10,29
2010-11,29
2010-12,32
2011-01,65
2011-02,79
2011-03,50
2011-04,70
2011-05,62
2011-06,100
2011-07,40
2011-08,40
2011-09,50
2011-10,54
2011-11,55
2011-12,52
2012-01,22
2012-02,53
2012-03,29
2012-04,55
2012-05,25
2012-06,29
2012-07,73
2012-08,32
2012-09,59
2012-10,54
2012-11,42
2012-12,32
2013-01,38
2013-02,41
2013-03,24
2013-04,34
2013-05,50
2013-06,40
2013-07,46
2013-08,32
2013-09,14
2013-10,30
2013-11,40
2013-12,39
2014-01,34
2014-02,18
2014-03,33
2014-04,33
2014-05,31
2014-06,19
2014-07,31
2014-08,37
2014-09,22
2014-10,20
2014-11,73
2014-12,32
2015-01,31
2015-02,22
2015-03,45
2015-04,14
2015-05,21
2015-06,30
2015-07,21
2015-08,38
2015-09,39
2015-10,44
2015-11,27
2015-12,37
2016-01,37
2016-02,16
2016-03,24
2016-04,31
2016-05,19
2016-06,20
2016-07,26
2016-08,21
2016-09,9
2016-10,20
2016-11,46
2016-12,23
2017-01,16
2017-02,13
2017-03,34
2017-04,22
2017-05,28
2017-06,8
2017-07,36
2017-08,28
2017-09,25
2017-10,12
2017-11,29
2017-12,29
2018-01,17
2018-02,22
2018-03,25
2018-04,13
2018-05,36
2018-06,21
2018-07,13
2018-08,12
2018-09,25
2018-10,20
2018-11,21
2018-12,0
2019-01,29
2019-02,30
2019-03,28
2019-04,39
2019-05,8
2019-06,24
2019-07,16
2019-08,35
2019-09,26
2019-10,14
2019-11,27
2019-12,46
2020-01,22
2020-02,15
2020-03,21
2020-04,23
2020-05,14
2020-06,40
