Mes,ROBOS ESTADO DE MEXICO
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,90
2010-06,0
2010-07,100
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,98
2011-01,9
2011-02,13
2011-03,12
2011-04,9
2011-05,12
2011-06,8
2011-07,4
2011-08,7
2011-09,7
2011-10,10
2011-11,9
2011-12,12
2012-01,6
2012-02,16
2012-03,7
2012-04,8
2012-05,14
2012-06,17
2012-07,17
2012-08,12
2012-09,17
2012-10,7
2012-11,6
2012-12,8
2013-01,15
2013-02,4
2013-03,11
2013-04,14
2013-05,22
2013-06,10
2013-07,10
2013-08,21
2013-09,10
2013-10,16
2013-11,10
2013-12,11
2014-01,13
2014-02,16
2014-03,14
2014-04,13
2014-05,6
2014-06,13
2014-07,14
2014-08,13
2014-09,6
2014-10,12
2014-11,9
2014-12,10
2015-01,18
2015-02,14
2015-03,21
2015-04,15
2015-05,11
2015-06,23
2015-07,9
2015-08,10
2015-09,11
2015-10,11
2015-11,13
2015-12,12
2016-01,14
2016-02,15
2016-03,11
2016-04,12
2016-05,16
2016-06,18
2016-07,17
2016-08,18
2016-09,16
2016-10,19
2016-11,19
2016-12,17
2017-01,27
2017-02,15
2017-03,13
2017-04,16
2017-05,13
2017-06,13
2017-07,13
2017-08,14
2017-09,16
2017-10,16
2017-11,15
2017-12,18
2018-01,13
2018-02,16
2018-03,12
2018-04,12
2018-05,16
2018-06,14
2018-07,8
2018-08,19
2018-09,12
2018-10,17
2018-11,10
2018-12,16
2019-01,12
2019-02,12
2019-03,13
2019-04,13
2019-05,13
2019-06,13
2019-07,9
2019-08,10
2019-09,9
2019-10,12
2019-11,14
2019-12,7
2020-01,13
2020-02,11
2020-03,8
2020-04,6
2020-05,8
2020-06,8
